Alice in Chains, Got Me Wrong
Alice in Chains, Nutshell
Better Than Ezra, Good
Blind Melon, No Rain
Bush, Glycerine
Bush, Letting the Cable Sleep
Chris Isaak, Wicked Game
City and Colour, Sleeping Sickness
Collective Soul, December
Collective Soul, Run
Cracker, Low
David Bowie, The Man Who Sold the World
Default, Live a Lie
Eve 6, Inside Out
Everclear, Santa Monica
Fastball, The Way
Filter, Take a Picture
Foo Fighters, Big Me
Foo Fighters, Everlong
Foo Fighters, Learn to Fly
Foo Fighters, My Hero
Fuel, Hemorrhage (In My Hands)
Gin Blossoms, Found Out About You
Gin Blossoms, Hey Jealousy
Goo Goo Dolls, Slide
Green Day, Boulevard of Broken Dreams
Green Day, Brain Stew
Green Day, Good Riddance (Time of Your Life)
Harvey Danger, Flagpole Sitta
Incubus, Drive
Indeo, Hard Sun
Jane's Addiction, Jane Says
Jonathan Coulton, A Talk With George
Kings of Leon, Use Somebody
Leonard Cohen, Hallelujah
Live, Lightning Crashes
Live, Selling the Drama
Lynyrd Skynyrd, Simple Man
Lynyrd Skynyrd, Tuesday's Gone
Mad Season, River of Deceit
Matchbox Twenty, 3am
Matchbox Twenty, Push
Matchbox Twenty, Real World
Metallica, Nothing Else Matters
Mother Love Bone, Crown of Thorns
Nirvana, About a Girl
Nirvana, All Apologies
Nirvana, Heart-Shaped box
Nirvana, Something in the Way
Oasis, Champagne Supernova
Oasis, Don't Look Back in Anger
Oasis, Hello
Oasis, Supersonic
Oasis, Wonderwall
The Offspring, Gone Away
Pearl Jam, Better Man
Pearl Jam, Black
Pearl Jam, Elderly Woman Behind the Counter in a Small Town
Pink Floyd, Wish You Were Here
Poison, Every Rose Has its Thorn
The Raconteurs, "Steady, as She Goes"
Radiohead, Creep
R.E.M., Losing My Religion
R.E.M., The One I Love
The Red Hot Chili Peppers, Black Summer
The Red Hot Chili Peppers, Breaking the Girl
The Red Hot Chili Peppers, Snow (Hey Oh)
The Red Hot Chili Peppers, Under the Bridge
Semisonic, Closing Time
Seven Mary Three, Cumbersome
Sia, Chandelier
Slipknot, Circle
Slipknot, Snuff
The Smashing Pumpkins, 1979
The Smashing Pumpkins, Rhinocerous
Soul Asylum, Runaway Train
Staind, It's Been a While
Stone Sour, Through Glass
Stone Temple Pilots, Creep
Stone Temple Pilots, Interstate Love Song
Stone Temple Pilots, Plush
Stone Temple Pilots, Sour Girl
Sublime, Santeria
Sublime, What I Got
Tears for Fears, Everybody Wants to Rule the World
Tears for Fears, Shout
Third Eye Blind, Jumper
Tonic, If You Could Only Seven
The Verve Pipe, The Freshman
Weezer, Say It Ain't So
